"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","17-Aug-2018","       1429.55","       1430.90","       1437.65","       1423.00","       1426.55","       1430.35","       1430.85","    3195204","          4571856691.40","     122779","    2222525","         69.56"
"INFY","EQ","20-Aug-2018","       1430.35","       1388.00","       1407.95","       1373.50","       1388.20","       1384.25","       1389.04","    8050938","         11183093868.30","     249766","    3747784","         46.55"
"INFY","EQ","21-Aug-2018","       1384.25","       1390.00","       1396.00","       1373.75","       1386.00","       1383.95","       1381.18","    4180741","          5774338649.90","     126003","    2280633","         54.55"
"INFY","EQ","23-Aug-2018","       1383.95","       1393.00","       1401.50","       1385.35","       1400.00","       1397.40","       1392.99","    3858591","          5374993200.90","     180710","    2737234","         70.94"
"INFY","EQ","24-Aug-2018","       1397.40","       1396.50","       1401.90","       1376.10","       1379.35","       1378.30","       1386.47","    3526500","          4889394601.00","     109805","    2049349","         58.11"
"INFY","EQ","27-Aug-2018","       1378.30","       1383.00","       1419.95","       1381.40","       1416.00","       1415.40","       1406.00","    3506475","          4930091750.60","     132478","    2245599","         64.04"
"INFY","EQ","28-Aug-2018","       1415.40","       1417.20","       1438.40","       1411.50","       1425.00","       1424.70","       1427.92","    3248445","          4638524929.10","     100357","    1773021","         54.58"
"INFY","EQ","29-Aug-2018","       1424.70","       1433.60","       1433.60","       1405.15","       1411.00","       1410.10","       1412.92","    2823248","          3989010655.35","      89895","    1719084","         60.89"
"INFY","EQ","30-Aug-2018","       1410.10","       1412.80","       1421.55","       1396.15","       1418.10","       1416.20","       1411.92","    5753981","          8124160894.05","      96074","    4034348","         70.11"
"INFY","EQ","31-Aug-2018","       1416.20","       1425.10","       1454.30","       1421.10","       1440.00","       1441.10","       1439.05","    5437932","          7825437137.85","     124025","    3589092","         66.00"
"INFY","EQ","03-Sep-2018","       1441.10","       1449.00","       1467.90","       1430.00","       1436.20","       1434.25","       1451.30","    5488164","          7964966272.70","     134643","    3571594","         65.08"
"INFY","EQ","04-Sep-2018","       1434.25","        722.00","        748.50","        716.00","        733.00","        737.15","        739.04","   15370124","         11359156598.75","     258728","    6954062","         45.24"
"INFY","EQ","05-Sep-2018","        737.15","        741.95","        744.05","        725.40","        729.00","        729.90","        734.79","    8658978","          6362539535.15","     202826","    3839883","         44.35"
"INFY","EQ","06-Sep-2018","        729.90","        732.55","        735.50","        724.10","        726.00","        727.15","        730.17","    5598659","          4087988682.40","     134849","    3493840","         62.40"
"INFY","EQ","07-Sep-2018","        727.15","        734.35","        735.15","        723.80","        734.00","        732.80","        730.95","    6510605","          4758936855.35","     190264","    3810992","         58.54"
"INFY","EQ","10-Sep-2018","        732.80","        737.75","        747.00","        729.40","        733.40","        730.85","        736.29","    5629871","          4145245236.40","     112735","    3209244","         57.00"
"INFY","EQ","11-Sep-2018","        730.85","        735.90","        744.75","        732.00","        733.70","        734.30","        738.58","    6963561","          5143145755.50","     137146","    3665363","         52.64"
"INFY","EQ","12-Sep-2018","        734.30","        744.40","        746.50","        736.25","        740.90","        742.90","        741.14","    4636617","          3436370099.35","     144311","    2545066","         54.89"
"INFY","EQ","14-Sep-2018","        742.90","        741.90","        745.00","        729.05","        735.00","        733.70","        735.78","    7896514","          5810118483.35","     191430","    4669337","         59.13"
"INFY","EQ","17-Sep-2018","        733.70","        735.00","        740.00","        724.60","        726.90","        725.95","        730.79","    5427054","          3966013456.15","     124216","    2572371","         47.40"
"INFY","EQ","18-Sep-2018","        725.95","        730.00","        730.00","        717.00","        720.00","        719.10","        720.33","    7729732","          5567951788.65","     116715","    2039349","         26.38"
"INFY","EQ","19-Sep-2018","        719.10","        727.00","        727.00","        713.20","        719.60","        719.75","        719.40","    4849498","          3488751299.15","     142071","    2917751","         60.17"
"INFY","EQ","21-Sep-2018","        719.75","        713.85","        717.40","        692.00","        710.00","        705.30","        706.40","   14350769","         10137378693.65","     238115","    9880217","         68.85"
"INFY","EQ","24-Sep-2018","        705.30","        706.50","        729.95","        706.50","        719.95","        718.25","        721.56","    8637881","          6232738762.95","     183918","    5604772","         64.89"
"INFY","EQ","25-Sep-2018","        718.25","        718.25","        736.00","        717.00","        726.00","        726.20","        727.76","    9602273","          6988194861.40","     223780","    5283327","         55.02"
"INFY","EQ","26-Sep-2018","        726.20","        731.20","        731.85","        712.00","        719.90","        717.85","        720.78","    6599606","          4756877824.15","     110456","    4301995","         65.19"
"INFY","EQ","27-Sep-2018","        717.85","        722.00","        730.80","        717.45","        724.30","        724.80","        724.80","   14592616","         10576733251.70","     147797","   10485355","         71.85"
"INFY","EQ","28-Sep-2018","        724.80","        721.00","        734.55","        715.20","        731.70","        730.05","        727.98","    7490031","          5452629799.50","     166682","    4590662","         61.29"
"INFY","EQ","01-Oct-2018","        730.05","        737.50","        754.90","        733.00","        742.95","        746.65","        745.05","    8252398","          6148484239.10","     160489","    4483016","         54.32"
"INFY","EQ","03-Oct-2018","        746.65","        743.80","        751.95","        726.30","        728.55","        728.50","        738.21","    7792464","          5752480100.25","     184479","    4931984","         63.29"
"INFY","EQ","04-Oct-2018","        728.50","        728.50","        729.75","        702.50","        711.00","        707.20","        711.02","    6173037","          4389159560.90","     150299","    3617395","         58.60"
"INFY","EQ","05-Oct-2018","        707.20","        713.00","        731.50","        709.30","        722.50","        724.60","        717.57","    8543578","          6130589981.25","     141622","    4727502","         55.33"
"INFY","EQ","08-Oct-2018","        724.60","        725.05","        728.70","        709.25","        714.65","        714.45","        717.09","    7259306","          5205581861.90","     244347","    4344672","         59.85"
"INFY","EQ","09-Oct-2018","        714.45","        717.10","        722.40","        702.65","        721.00","        717.75","        711.05","    6777212","          4818903576.80","     116349","    3665401","         54.08"
"INFY","EQ","10-Oct-2018","        717.75","        719.90","        719.90","        695.40","        700.35","        700.45","        703.19","    8866251","          6234700032.75","     219744","    4098711","         46.23"
"INFY","EQ","11-Oct-2018","        700.45","        685.00","        692.90","        663.30","        675.40","        673.35","        676.06","   10985897","          7427150380.05","     285534","    5910635","         53.80"
"INFY","EQ","12-Oct-2018","        673.35","        676.40","        684.05","        661.50","        678.15","        678.80","        673.71","    8909221","          6002268066.80","     214848","    4229073","         47.47"
"INFY","EQ","15-Oct-2018","        678.80","        688.60","        705.00","        681.50","        703.50","        698.80","        691.39","    6222176","          4301952210.65","     121763","    3187712","         51.23"
"INFY","EQ","16-Oct-2018","        698.80","        710.00","        713.90","        689.40","        692.00","        695.25","        702.32","   11588963","          8139197320.70","     266266","    4829861","         41.68"
"INFY","EQ","17-Oct-2018","        695.25","        710.00","        721.80","        701.35","        705.50","        705.35","        711.55","   20360697","         14487628785.05","     280701","    8842531","         43.43"
"INFY","EQ","19-Oct-2018","        705.35","        687.00","        687.70","        678.00","        683.50","        683.55","        682.35","   10421001","          7110757250.65","     245258","    6658247","         63.89"
"INFY","EQ","22-Oct-2018","        683.55","        688.70","        695.05","        673.80","        680.50","        679.95","        679.08","    6672840","          4531381462.30","     118989","    4592757","         68.83"
"INFY","EQ","23-Oct-2018","        679.95","        675.95","        682.00","        653.30","        663.05","        657.60","        663.77","    9041701","          6001591447.55","     206699","    6249984","         69.12"
"INFY","EQ","24-Oct-2018","        657.60","        663.00","        666.50","        647.15","        650.00","        649.80","        653.45","    7058164","          4612127164.25","     151398","    4319821","         61.20"
"INFY","EQ","25-Oct-2018","        649.80","        643.00","        656.35","        636.25","        647.30","        648.75","        647.53","    8270469","          5355339309.35","     196622","    5315499","         64.27"
"INFY","EQ","26-Oct-2018","        648.75","        645.30","        648.70","        629.90","        634.05","        633.60","        636.49","    5464141","          3477864472.15","     111447","    3187130","         58.33"
"INFY","EQ","29-Oct-2018","        633.60","        633.70","        650.55","        631.50","        646.10","        644.75","        637.82","    7137446","          4552389117.60","     123494","    5228816","         73.26"
"INFY","EQ","30-Oct-2018","        644.75","        641.10","        663.80","        637.45","        658.90","        659.60","        657.39","    8793411","          5780678040.35","     148842","    5764870","         65.56"
"INFY","EQ","31-Oct-2018","        659.60","        663.90","        692.95","        663.05","        685.95","        686.40","        681.52","   11947995","          8142844240.20","     223319","    7659197","         64.10"
"INFY","EQ","01-Nov-2018","        686.40","        689.70","        689.70","        659.60","        667.00","        666.70","        671.01","    5860244","          3932276784.20","     125725","    3282959","         56.02"
"INFY","EQ","02-Nov-2018","        666.70","        665.95","        675.80","        660.10","        663.20","        662.25","        665.40","    6654067","          4427642405.45","     148487","    3761960","         56.54"
"INFY","EQ","05-Nov-2018","        662.25","        663.50","        668.60","        657.00","        663.70","        666.00","        662.36","    5799426","          3841307500.55","     140183","    3670964","         63.30"
"INFY","EQ","06-Nov-2018","        666.00","        667.90","        675.00","        660.65","        667.10","        666.45","        668.40","    6975525","          4662445093.80","     240509","    4371014","         62.66"
"INFY","EQ","07-Nov-2018","        666.45","        673.00","        677.50","        672.00","        677.45","        675.50","        674.86","     758956","           512188500.70","      31522","     307741","         40.55"
"INFY","EQ","09-Nov-2018","        675.50","        679.00","        679.00","        655.50","        658.70","        659.50","        661.40","    9694143","          6411724146.30","     244092","    7091290","         73.15"
"INFY","EQ","12-Nov-2018","        659.50","        666.00","        676.40","        662.30","        665.05","        664.20","        669.82","    7118080","          4767832301.90","     120785","    3845132","         54.02"
"INFY","EQ","13-Nov-2018","        664.20","        663.50","        667.75","        656.30","        664.45","        665.70","        663.83","    4137808","          2746782460.75","     129103","    2641999","         63.85"
"INFY","EQ","14-Nov-2018","        665.70","        665.70","        665.70","        640.50","        652.40","        653.20","        648.72","    7323026","          4750599516.35","     174358","    4361316","         59.56"
"INFY","EQ","15-Nov-2018","        653.20","        654.00","        666.00","        646.70","        655.65","        656.40","        660.71","    5513390","          3642738196.20","     130605","    3270275","         59.32"
"INFY","EQ","16-Nov-2018","        656.40","        659.90","        662.50","        644.20","        652.00","        650.85","        649.95","    8583785","          5579053175.15","     153414","    5561153","         64.79"
"INFY","EQ","19-Nov-2018","        650.85","        659.00","        662.00","        649.25","        651.95","        651.70","        652.75","    6018930","          3928880482.15","      96075","    4076816","         67.73"
"INFY","EQ","20-Nov-2018","        651.70","        651.70","        656.00","        640.10","        640.60","        641.40","        645.31","    5384830","          3474899740.35","     105300","    3188270","         59.21"
"INFY","EQ","21-Nov-2018","        641.40","        640.00","        640.05","        612.10","        619.50","        619.10","        618.73","   14359086","          8884401044.40","     306110","    7301207","         50.85"
"INFY","EQ","22-Nov-2018","        619.10","        622.25","        628.15","        616.75","        620.85","        620.75","        623.11","    6632975","          4133099492.00","     120189","    3211872","         48.42"
"INFY","EQ","26-Nov-2018","        620.75","        621.00","        628.00","        599.85","        621.20","        621.45","        613.78","   15075209","          9252894700.60","     263089","    8758922","         58.10"
"INFY","EQ","27-Nov-2018","        621.45","        625.50","        641.00","        625.30","        641.00","        638.90","        634.88","   12285851","          7800040730.95","     200385","    7331501","         59.67"
"INFY","EQ","28-Nov-2018","        638.90","        640.95","        668.70","        640.00","        664.50","        666.40","        659.36","   17719890","         11683706177.25","     310146","   10672554","         60.23"
"INFY","EQ","29-Nov-2018","        666.40","        671.00","        674.90","        658.80","        665.00","        661.05","        667.03","   13399070","          8937609219.40","     170549","    7390099","         55.15"
"INFY","EQ","30-Nov-2018","        661.05","        661.00","        672.00","        660.95","        670.00","        667.45","        667.52","   10445773","          6972740710.30","     118396","    6667707","         63.83"
"INFY","EQ","03-Dec-2018","        667.45","        673.15","        679.00","        665.95","        672.45","        670.35","        670.58","    8260890","          5539597359.00","     103845","    6137214","         74.29"
"INFY","EQ","04-Dec-2018","        670.35","        672.55","        688.25","        671.30","        683.00","        685.25","        682.83","    7827923","          5345133353.50","     129170","    4357939","         55.67"
"INFY","EQ","05-Dec-2018","        685.25","        683.00","        683.65","        672.50","        682.05","        681.40","        678.97","    5177288","          3515206693.50","      96257","    3101033","         59.90"
"INFY","EQ","06-Dec-2018","        681.40","        676.10","        685.45","        664.55","        669.70","        668.50","        672.12","    8039771","          5403659737.50","     229269","    3922722","         48.79"
"INFY","EQ","07-Dec-2018","        668.50","        672.00","        685.75","        665.60","        681.00","        682.80","        679.07","    5553948","          3771508978.70","     125999","    3024829","         54.46"
"INFY","EQ","10-Dec-2018","        682.80","        669.90","        683.80","        665.20","        670.30","        669.20","        671.47","    5121196","          3438717512.95","     119910","    3114377","         60.81"
"INFY","EQ","11-Dec-2018","        669.20","        669.20","        681.90","        660.60","        673.25","        674.50","        672.27","    7120933","          4787161579.10","     204697","    3767399","         52.91"
"INFY","EQ","12-Dec-2018","        674.50","        677.10","        680.65","        670.60","        678.10","        678.50","        675.12","    6926183","          4675985775.85","      92411","    3725735","         53.79"
"INFY","EQ","13-Dec-2018","        678.50","        682.00","        700.00","        680.00","        695.35","        697.75","        690.27","    7521474","          5191853566.00","     187302","    4679887","         62.22"
"INFY","EQ","14-Dec-2018","        697.75","        697.45","        713.70","        694.40","        706.15","        706.05","        705.93","    9560576","          6749101214.85","     158039","    4777005","         49.97"
"INFY","EQ","17-Dec-2018","        706.05","        711.85","        711.85","        692.75","        692.75","        694.40","        697.79","    4778465","          3334376899.10","      95026","    2319758","         48.55"
"INFY","EQ","18-Dec-2018","        694.40","        686.50","        686.50","        674.55","        677.00","        676.60","        679.65","    8021298","          5451686819.05","     191277","    4277069","         53.32"
"INFY","EQ","19-Dec-2018","        676.60","        671.55","        671.55","        661.10","        664.60","        664.85","        665.07","    8295459","          5517046524.60","     263253","    4781304","         57.64"
"INFY","EQ","20-Dec-2018","        664.85","        660.00","        671.55","        656.40","        666.90","        667.05","        664.34","   11705260","          7776239037.15","     237519","    6351199","         54.26"
"INFY","EQ","21-Dec-2018","        667.05","        659.50","        659.50","        643.45","        646.55","        646.20","        651.10","   12802132","          8335493758.10","     228130","    6537301","         51.06"
"INFY","EQ","24-Dec-2018","        646.20","        657.00","        658.80","        647.60","        648.50","        649.00","        652.59","    8379825","          5468562526.00","     140084","    3230709","         38.55"
"INFY","EQ","26-Dec-2018","        649.00","        647.00","        647.00","        637.35","        643.90","        644.05","        641.76","    6178552","          3965160751.65","     129003","    3192480","         51.67"
"INFY","EQ","27-Dec-2018","        644.05","        652.75","        663.25","        649.00","        656.35","        656.80","        658.16","   15333902","         10092126950.95","     182988","    7084546","         46.20"
"INFY","EQ","28-Dec-2018","        656.80","        663.35","        663.50","        653.30","        656.10","        656.95","        658.29","    4736598","          3118076701.95","     105527","    2225579","         46.99"
"INFY","EQ","31-Dec-2018","        656.95","        660.00","        662.00","        655.80","        659.60","        658.95","        659.27","    3373319","          2223919550.25","      65442","    1517551","         44.99"
