"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFOSYSTCH","BE","17-Jan-2000","      12604.05","      12719.00","      12719.00","      12719.00","      12719.00","      12719.00","      12719.00","        500","             6359500.00","-","-","-"
"INFOSYSTCH","EQ","17-Jan-2000","      12176.40","      12200.00","      12885.00","      11720.00","      11773.00","      11870.90","      12210.99","     141351","          1726035813.45","-","-","-"
"INFOSYSTCH","AE","18-Jan-2000","      11907.25","      11800.00","      12200.00","      11400.00","      12000.00","      12015.95","      11870.55","       3988","            47339745.60","-","-","-"
"INFOSYSTCH","EQ","18-Jan-2000","      11870.90","      11739.70","      12169.00","      11325.00","      11930.00","      11935.65","      11818.44","     158523","          1873494622.25","-","-","-"
"INFOSYSTCH","AE","19-Jan-2000","      12015.95","      12300.00","      12890.50","      12300.00","      12890.50","      12853.00","      12670.54","       5299","            67141193.50","-","-","-"
"INFOSYSTCH","EQ","19-Jan-2000","      11935.65","      12546.00","      12890.50","      12420.00","      12890.50","      12889.85","      12765.40","     156209","          1994070491.90","-","-","-"
"INFOSYSTCH","EQ","20-Jan-2000","      12889.85","      13200.00","      13551.00","      12611.00","      12739.00","      12747.05","      13196.10","     154520","          2039061016.10","-","-","-"
"INFOSYSTCH","EQ","21-Jan-2000","      12747.05","      12900.00","      13590.00","      12503.00","      13550.00","      13420.20","      13122.91","     162391","          2131042830.50","-","-","-"
"INFOSYSTCH","AE","24-Jan-2000","      12853.00","      14125.00","      14150.00","      13901.00","      13901.00","      13922.20","      14057.66","        105","             1476054.00","-","-","-"
"INFOSYSTCH","BE","24-Jan-2000","      12719.00","      14125.00","      14130.00","      14125.00","      14130.00","      14130.00","      14127.50","        600","             8476500.00","-","-","-"
"INFOSYSTCH","EQ","24-Jan-2000","      13420.20","      13600.00","      14489.00","      13600.00","      13840.10","      13878.80","      14027.99","     197315","          2767933423.75","-","-","-"
"INFOSYSTCH","AE","25-Jan-2000","      13922.20","      13800.00","      14100.00","      13800.00","      14100.00","      14099.95","      13923.50","         50","              696174.75","-","-","-"
"INFOSYSTCH","EQ","25-Jan-2000","      13878.80","      13800.00","      14250.00","      13400.05","      14190.00","      14109.40","      13923.52","     159919","          2226634875.30","-","-","-"
"INFOSYSTCH","EQ","27-Jan-2000","      14109.40","       7570.00","       7600.00","       7293.00","       7405.00","       7390.75","       7464.80","     202403","          1510898710.40","-","-","-"
"INFOSYSTCH","EQ","28-Jan-2000","       7390.75","       7426.00","       7699.00","       7426.00","       7625.00","       7611.55","       7592.45","     270024","          2050144623.25","-","-","-"
"INFOSYSTCH","EQ","31-Jan-2000","       7611.55","       7535.50","       7544.00","       7127.00","       7218.00","       7221.70","       7396.24","     118723","           878104384.15","-","-","-"
"INFOSYSTCH","EQ","01-Feb-2000","       7221.70","       7250.00","       7450.00","       7150.00","       7440.00","       7417.40","       7345.05","     110241","           809725416.95","-","-","-"
"INFOSYSTCH","EQ","02-Feb-2000","       7417.40","       7590.00","       7700.00","       7349.50","       7370.00","       7365.80","       7447.18","     148305","          1104454015.80","-","-","-"
"INFOSYSTCH","EQ","03-Feb-2000","       7365.80","       7416.00","       7510.00","       7370.00","       7465.00","       7440.80","       7437.00","      94251","           700944669.30","-","-","-"
"INFOSYSTCH","EQ","04-Feb-2000","       7440.80","       7475.00","       7950.00","       7475.00","       7860.25","       7896.95","       7800.28","     315261","          2459125347.10","-","-","-"
"INFOSYSTCH","EQ","07-Feb-2000","       7896.95","       7899.00","       8528.75","       7899.00","       8480.00","       8496.20","       8327.43","     265447","          2210490410.65","-","-","-"
"INFOSYSTCH","EQ","08-Feb-2000","       8496.20","       8495.00","       9150.00","       8495.00","       8920.00","       8898.20","       8952.29","     232856","          2084593559.35","-","-","-"
"INFOSYSTCH","EQ","09-Feb-2000","       8898.20","       9399.00","       9399.00","       8600.00","       8660.00","       8709.75","       8890.93","     165555","          1471938373.75","-","-","-"
"INFOSYSTCH","EQ","10-Feb-2000","       8709.75","       8799.00","       9275.00","       8799.00","       9180.00","       9209.00","       9052.10","     293402","          2655903679.45","-","-","-"
"INFOSYSTCH","EQ","11-Feb-2000","       9209.00","       9269.00","       9945.75","       9269.00","       9945.75","       9945.75","       9935.78","      32816","           326052529.85","-","-","-"
"INFOSYSTCH","AE","14-Feb-2000","      14099.95","      10741.45","      10741.45","      10741.45","      10741.45","      10741.45","      10741.45","        200","             2148290.00","-","-","-"
"INFOSYSTCH","EQ","14-Feb-2000","       9945.75","      10741.45","      10741.45","      10741.45","      10741.45","      10741.45","      10741.45","      23733","           254926832.85","-","-","-"
"INFOSYSTCH","AE","15-Feb-2000","      10741.45","       9900.00","      10350.00","       9885.00","       9925.00","      10001.50","      10103.51","       2378","            24026137.65","-","-","-"
"INFOSYSTCH","EQ","15-Feb-2000","      10741.45","      10741.45","      10741.45","       9882.15","       9882.15","       9961.75","      10041.95","     333437","          3348357014.35","-","-","-"
"INFOSYSTCH","AE","16-Feb-2000","      10001.50","       9801.00","      10180.00","       9525.00","       9880.00","       9790.70","       9933.63","       1699","            16877235.00","-","-","-"
"INFOSYSTCH","EQ","16-Feb-2000","       9961.75","      10050.00","      10300.00","       9635.00","       9900.00","      10037.85","      10027.30","     198757","          1992995083.40","-","-","-"
"INFOSYSTCH","EQ","17-Feb-2000","      10037.85","      10000.00","      10800.00","      10000.00","      10298.00","      10298.30","      10436.85","     189457","          1977333595.45","-","-","-"
"INFOSYSTCH","EQ","18-Feb-2000","      10298.30","      10419.00","      10500.00","       9775.00","       9920.00","       9864.60","      10075.31","     166067","          1673175952.80","-","-","-"
"INFOSYSTCH","AE","21-Feb-2000","       9790.70","      10000.00","      10587.00","      10000.00","      10250.00","      10288.15","      10351.59","        755","             7815450.00","-","-","-"
"INFOSYSTCH","EQ","21-Feb-2000","       9864.60","       9850.00","      10500.00","       9701.00","      10220.00","      10254.75","      10239.38","     277368","          2840076524.70","-","-","-"
"INFOSYSTCH","AE","22-Feb-2000","      10288.15","      10250.00","      11060.00","      10000.00","      11060.00","      10133.40","      10116.48","       5401","            54639116.85","-","-","-"
"INFOSYSTCH","BE","22-Feb-2000","      14130.00","          0.00","          0.00","          0.00","      14130.00","      10085.00","      10085.00","         10","              100850.00","-","-","-"
"INFOSYSTCH","EQ","22-Feb-2000","      10254.75","      10339.00","      10339.00","       9750.00","       9789.00","       9830.10","       9940.60","     188540","          1874200199.75","-","-","-"
"INFOSYSTCH","AE","23-Feb-2000","      10133.40","      10100.00","      10151.00","       9045.00","       9150.00","       9077.50","       9776.01","       4764","            46572928.50","-","-","-"
"INFOSYSTCH","EQ","23-Feb-2000","       9830.10","      10500.00","      10500.00","       9043.70","       9300.00","       9214.95","       9664.47","     186634","          1803717832.50","-","-","-"
"INFOSYSTCH","EQ","24-Feb-2000","       9214.95","       9390.00","       9649.00","       8988.00","       9400.00","       9297.00","       9327.21","     129070","          1203862969.55","-","-","-"
"INFOSYSTCH","EQ","25-Feb-2000","       9297.00","       9400.00","       9489.85","       8850.00","       8985.00","       8987.20","       9206.52","      77029","           709168887.40","-","-","-"
"INFOSYSTCH","AE","28-Feb-2000","       9077.50","       8650.00","       8670.00","       8268.25","       8600.00","       8598.95","       8437.90","        916","             7729119.50","-","-","-"
"INFOSYSTCH","EQ","28-Feb-2000","       8987.20","       8900.00","       8900.00","       8268.25","       8555.00","       8509.70","       8417.28","     119006","          1001706609.35","-","-","-"
"INFOSYSTCH","AE","29-Feb-2000","       8598.95","       8770.00","       9190.50","       8400.00","       8899.00","       8881.05","       8963.55","       5487","            49183011.75","-","-","-"
"INFOSYSTCH","EQ","29-Feb-2000","       8509.70","       8600.00","       9190.50","       8350.00","       8700.00","       8779.40","       8933.35","     250497","          2237778403.35","-","-","-"
"INFOSYSTCH","AE","01-Mar-2000","       8881.05","       9200.00","       9481.75","       9000.00","       9481.75","       9481.75","       9293.89","       3258","            30279487.65","-","-","-"
"INFOSYSTCH","BE","01-Mar-2000","      10085.00","       9250.00","       9250.00","       9250.00","       9250.00","       9250.00","       9250.00","        900","             8325000.00","-","-","-"
"INFOSYSTCH","EQ","01-Mar-2000","       8779.40","       9099.00","       9481.75","       9000.00","       9481.75","       9481.75","       9372.07","      98216","           920486963.35","-","-","-"
"INFOSYSTCH","BE","02-Mar-2000","       9250.00","          0.00","          0.00","          0.00","       9250.00","      10240.30","      10240.30","       5000","            51201500.00","-","-","-"
"INFOSYSTCH","EQ","02-Mar-2000","       9481.75","      10134.75","      10240.30","       9932.10","      10240.30","      10240.30","      10226.19","      25110","           256779716.40","-","-","-"
"INFOSYSTCH","BE","03-Mar-2000","      10240.30","      11059.55","      11059.55","      11059.55","      11059.55","      11059.55","      11059.55","        106","             1172312.30","-","-","-"
"INFOSYSTCH","EQ","03-Mar-2000","      10240.30","      11059.55","      11059.55","      11059.55","      11059.55","      11059.55","      11059.55","      26691","           295190449.05","-","-","-"
"INFOSYSTCH","BE","06-Mar-2000","      11059.55","      11944.35","      11944.35","      11944.35","      11944.35","      11944.35","      11944.35","       3405","            40670511.75","-","-","-"
"INFOSYSTCH","EQ","06-Mar-2000","      11059.55","      11939.65","      11944.35","      10560.00","      11944.35","      11944.35","      11920.08","      21653","           258105584.00","-","-","-"
"INFOSYSTCH","AE","07-Mar-2000","       9481.75","      12899.90","      12899.90","      12899.90","      12899.90","      12899.90","      12899.90","         10","              128999.00","-","-","-"
"INFOSYSTCH","BE","07-Mar-2000","      11944.35","      12899.90","      12899.90","      12899.90","      12899.90","      12899.90","      12899.90","      75800","           977812420.00","-","-","-"
"INFOSYSTCH","EQ","07-Mar-2000","      11944.35","      12800.00","      12899.90","      12800.00","      12899.90","      12899.90","      12899.72","      54333","           700880276.70","-","-","-"
"INFOSYSTCH","AE","08-Mar-2000","      12899.90","      13500.00","      13700.00","      12149.00","      12150.00","      12200.05","      12620.43","        218","             2751254.15","-","-","-"
"INFOSYSTCH","BE","08-Mar-2000","      12899.90","      13931.90","      13931.90","      13931.90","      13931.90","      13931.90","      13808.20","       2150","            29687635.00","-","-","-"
"INFOSYSTCH","EQ","08-Mar-2000","      12899.90","      13450.00","      13931.90","      11985.00","      12400.00","      12315.05","      13334.70","     350512","          4673973007.70","-","-","-"
"INFOSYSTCH","EQ","09-Mar-2000","      12315.05","      12690.00","      13000.00","      11630.00","      11725.00","      11858.55","      12101.56","     130230","          1575985635.05","-","-","-"
"INFOSYSTCH","EQ","10-Mar-2000","      11858.55","      12099.00","      12745.00","      11426.55","      11699.00","      11664.80","      12123.96","     160307","          1943556385.00","-","-","-"
"INFOSYSTCH","AE","13-Mar-2000","      12200.05","      11500.00","      11500.00","      10801.00","      10802.00","      10802.00","      11004.91","        199","             2189978.00","-","-","-"
"INFOSYSTCH","EQ","13-Mar-2000","      11664.80","      11700.00","      12199.00","      10731.65","      10731.65","      10731.65","      11177.74","     117401","          1312278370.05","-","-","-"
"INFOSYSTCH","AE","14-Mar-2000","      10802.00","       9874.00","      10200.00","       9873.15","       9873.15","       9880.55","       9980.44","       1577","            15739150.60","-","-","-"
"INFOSYSTCH","EQ","14-Mar-2000","      10731.65","      10210.00","      10210.00","       9873.15","       9873.15","       9873.15","       9892.97","     131103","          1296997903.90","-","-","-"
"INFOSYSTCH","AE","15-Mar-2000","       9880.55","       9190.00","      10000.00","       9083.30","       9800.00","       9971.05","       9176.99","       1569","            14398692.10","-","-","-"
"INFOSYSTCH","EQ","15-Mar-2000","       9873.15","       9131.00","      10250.00","       9083.30","       9800.00","       9966.95","       9392.30","     254096","          2386545978.75","-","-","-"
"INFOSYSTCH","EQ","16-Mar-2000","       9966.95","       9600.00","       9600.00","       9169.60","       9169.60","       9169.60","       9291.70","      89462","           831254252.20","-","-","-"
"INFOSYSTCH","AE","21-Mar-2000","       9971.05","       9150.00","       9903.20","       9025.00","       9903.20","       9903.20","       9817.79","       1991","            19547209.95","-","-","-"
"INFOSYSTCH","BE","21-Mar-2000","      13931.90","       9903.20","       9903.20","       9903.20","       9903.20","       9903.20","       9903.20","       1000","             9903200.00","-","-","-"
"INFOSYSTCH","EQ","21-Mar-2000","       9169.60","       9195.00","       9903.20","       8511.00","       9903.20","       9903.20","       9732.01","     228646","          2225185116.40","-","-","-"
"INFOSYSTCH","AE","22-Mar-2000","       9903.20","       9980.00","      10650.00","       9980.00","      10570.00","      10565.00","      10451.71","       3846","            40197280.75","-","-","-"
"INFOSYSTCH","EQ","22-Mar-2000","       9903.20","       9700.00","      10695.50","       9500.00","      10695.50","      10694.30","      10526.01","     149696","          1575701944.05","-","-","-"
"INFOSYSTCH","BE","23-Mar-2000","       9903.20","       9850.00","      11540.00","       9850.00","      11540.00","      11540.00","      10695.00","       1000","            10695000.00","-","-","-"
"INFOSYSTCH","EQ","23-Mar-2000","      10694.30","      10960.00","      11540.00","      10150.00","      10210.00","      10264.05","      10702.85","     222929","          2385976353.25","-","-","-"
"INFOSYSTCH","BE","24-Mar-2000","      11540.00","      10760.00","      10760.00","      10760.00","      10760.00","      10760.00","      10760.00","       2280","            24532800.00","-","-","-"
"INFOSYSTCH","EQ","24-Mar-2000","      10264.05","      10110.00","      11080.00","      10110.00","      10731.00","      10823.45","      10777.58","     191471","          2063594546.35","-","-","-"
"INFOSYSTCH","AE","27-Mar-2000","      10565.00","      11000.00","      11000.00","      10400.00","      10500.00","      10486.35","      10503.01","       1012","            10629047.60","-","-","-"
"INFOSYSTCH","BE","27-Mar-2000","      10760.00","      10497.00","      10497.00","      10497.00","      10497.00","      10497.00","      10497.00","        500","             5248500.00","-","-","-"
"INFOSYSTCH","EQ","27-Mar-2000","      10823.45","      10500.00","      10999.00","      10300.00","      10358.85","      10367.35","      10543.87","     126203","          1330667787.70","-","-","-"
"INFOSYSTCH","AE","28-Mar-2000","      10486.35","      10300.00","      10300.00","       9750.00","      10072.00","      10000.50","       9910.96","       4921","            48771814.30","-","-","-"
"INFOSYSTCH","EQ","28-Mar-2000","      10367.35","      10101.00","      10200.00","       9661.15","      10048.00","       9947.60","       9893.31","     139382","          1378949400.70","-","-","-"
"INFOSYSTCH","AE","29-Mar-2000","      10000.50","      10250.00","      10525.00","      10100.00","      10100.10","      10123.25","      10351.95","       2431","            25165588.90","-","-","-"
"INFOSYSTCH","EQ","29-Mar-2000","       9947.60","      10200.00","      10680.00","      10151.00","      10175.00","      10188.90","      10331.58","     102186","          1055742856.50","-","-","-"
"INFOSYSTCH","EQ","30-Mar-2000","      10188.90","       9900.00","       9900.00","       9380.00","       9725.00","       9745.70","       9640.54","     119682","          1153799220.90","-","-","-"
"INFOSYSTCH","EQ","31-Mar-2000","       9745.70","       9600.00","       9600.00","       8966.05","       8979.00","       8970.15","       9047.51","     126260","          1142339212.00","-","-","-"
"INFOSYSTCH","AE","03-Apr-2000","      10123.25","       8350.00","       8350.00","       8252.55","       8252.55","       8252.55","       8279.51","        216","             1788373.40","-","-","-"
"INFOSYSTCH","EQ","03-Apr-2000","       8970.15","       8501.00","       9000.00","       8252.55","       8252.55","       8252.55","       8363.56","      58493","           489209833.05","-","-","-"
"INFOSYSTCH","AE","04-Apr-2000","       8252.55","       7592.35","       7592.35","       7592.35","       7592.35","       7592.35","       7592.35","          1","                7592.35","-","-","-"
"INFOSYSTCH","BE","04-Apr-2000","      10497.00","       7592.35","       7592.35","       7592.35","       7592.35","       7592.35","       7592.35","         10","               75923.50","-","-","-"
"INFOSYSTCH","EQ","04-Apr-2000","       8252.55","       7592.35","       7592.35","       7592.35","       7592.35","       7592.35","       7592.35","       6253","            47474964.55","-","-","-"
"INFOSYSTCH","AE","05-Apr-2000","       7592.35","       7000.00","       8125.00","       7000.00","       7755.00","       7798.75","       7567.22","       3093","            23405396.15","-","-","-"
"INFOSYSTCH","BE","05-Apr-2000","       7592.35","          0.00","          0.00","          0.00","       7592.35","       7030.00","       7030.00","        310","             2179300.00","-","-","-"
"INFOSYSTCH","EQ","05-Apr-2000","       7592.35","       7051.00","       8199.00","       7051.00","       7830.00","       7797.65","       7667.31","     442955","          3396271303.60","-","-","-"
"INFOSYSTCH","BE","06-Apr-2000","       7030.00","       8106.70","       8106.70","       8106.70","       8106.70","       8106.70","       8106.70","       3500","            28373450.00","-","-","-"
"INFOSYSTCH","EQ","06-Apr-2000","       7797.65","       7852.00","       8421.50","       7301.00","       8421.50","       8415.30","       8026.76","     469687","          3770064312.85","-","-","-"
"INFOSYSTCH","BE","07-Apr-2000","       8106.70","       9088.55","       9088.55","       9088.55","       9088.55","       9088.55","       9088.55","         41","              372630.55","-","-","-"
"INFOSYSTCH","EQ","07-Apr-2000","       8415.30","       9088.55","       9088.55","       9088.55","       9088.55","       9088.55","       9088.55","       3475","            31582711.25","-","-","-"
"INFOSYSTCH","BE","10-Apr-2000","       9088.55","       9815.65","       9815.65","       9815.65","       9815.65","       9815.65","       9815.65","          1","                9815.65","-","-","-"
"INFOSYSTCH","EQ","10-Apr-2000","       9088.55","       9815.65","       9815.65","       9815.65","       9815.65","       9815.65","       9815.65","       3291","            32303304.15","-","-","-"
"INFOSYSTCH","AE","11-Apr-2000","       7798.75","      10005.00","      10600.90","       9951.00","      10600.90","      10600.90","      10378.93","       4588","            47618516.75","-","-","-"
"INFOSYSTCH","EQ","11-Apr-2000","       9815.65","       9815.65","      10600.90","       9051.00","      10600.90","      10599.20","      10176.60","     424595","          4320934487.50","-","-","-"
"INFOSYSTCH","AE","12-Apr-2000","      10600.90","      10290.00","      10500.00","      10000.00","      10000.00","      10153.20","      10233.47","       2471","            25286892.75","-","-","-"
"INFOSYSTCH","EQ","12-Apr-2000","      10599.20","      10390.00","      10573.00","       9990.00","      10085.00","      10077.00","      10261.81","     256124","          2628296074.80","-","-","-"
"INFOSYSTCH","BE","13-Apr-2000","       9815.65","       9270.85","       9270.85","       9270.85","       9270.85","       9270.85","       9270.85","          5","               46354.25","-","-","-"
"INFOSYSTCH","EQ","13-Apr-2000","      10077.00","       9900.05","       9900.05","       9270.85","       9270.85","       9270.85","       9270.93","      51784","           480085941.15","-","-","-"
"INFOSYSTCH","AE","17-Apr-2000","      10153.20","       8529.20","       8529.20","       8529.20","       8529.20","       8529.20","       8529.20","          6","               51175.20","-","-","-"
"INFOSYSTCH","EQ","17-Apr-2000","       9270.85","       8529.20","       8529.20","       8529.20","       8529.20","       8529.20","       8529.20","       3439","            29331918.80","-","-","-"
"INFOSYSTCH","AE","18-Apr-2000","       8529.20","       8150.00","       9000.00","       7846.90","       7878.00","       7850.50","       8017.40","       3651","            29271542.35","-","-","-"
"INFOSYSTCH","EQ","18-Apr-2000","       8529.20","       8529.20","       8799.00","       7846.90","       7846.90","       7846.90","       8014.61","     233506","          1871459557.90","-","-","-"
"INFOSYSTCH","AE","19-Apr-2000","       7850.50","       8300.00","       8325.00","       7219.15","       7221.00","       7222.55","       7831.25","       3081","            24128089.25","-","-","-"
"INFOSYSTCH","EQ","19-Apr-2000","       7846.90","       8474.00","       8474.00","       7219.15","       7240.00","       7250.05","       7574.80","     398588","          3019222978.35","-","-","-"
"INFOSYSTCH","EQ","20-Apr-2000","       7250.05","       6802.00","       7818.00","       6671.00","       7550.00","       7603.55","       7142.84","     574575","          4104099955.75","-","-","-"
"INFOSYSTCH","AE","24-Apr-2000","       7222.55","       7525.00","       7695.00","       7250.00","       7250.00","       7319.30","       7474.90","        246","             1838825.00","-","-","-"
"INFOSYSTCH","EQ","24-Apr-2000","       7603.55","       7798.00","       7899.00","       7210.00","       7250.00","       7371.40","       7497.76","     271376","          2034713016.50","-","-","-"
"INFOSYSTCH","AE","25-Apr-2000","       7319.30","       6849.00","       7300.00","       6781.70","       7300.00","       7134.10","       6874.77","       1559","            10717768.00","-","-","-"
"INFOSYSTCH","BE","25-Apr-2000","       9270.85","       6850.00","       6850.00","       6850.00","       6850.00","       6850.00","       6850.00","        100","              685000.00","-","-","-"
"INFOSYSTCH","EQ","25-Apr-2000","       7371.40","       7216.00","       7394.00","       6781.70","       7275.00","       7172.35","       6909.91","     256876","          1774990418.00","-","-","-"
"INFOSYSTCH","EQ","26-Apr-2000","       7172.35","       7742.85","       7742.90","       7651.00","       7742.90","       7742.90","       7734.92","      67657","           523321734.75","-","-","-"
"INFOSYSTCH","EQ","27-Apr-2000","       7742.90","       7990.00","       8174.00","       7742.90","       7960.00","       7988.25","       7991.33","     388048","          3101020619.95","-","-","-"
"INFOSYSTCH","EQ","28-Apr-2000","       7988.25","       8100.00","       8488.00","       7955.00","       8120.00","       8121.65","       8169.37","     298589","          2439283398.75","-","-","-"
"INFOSYSTCH","AE","02-May-2000","       7134.10","       7900.00","       7900.00","       7900.00","       7900.00","       7900.00","       7900.00","          5","               39500.00","-","-","-"
"INFOSYSTCH","EQ","02-May-2000","       8121.65","       8250.00","       8470.00","       7745.00","       7911.00","       7883.30","       7947.40","     399724","          3176764938.05","-","-","-"
"INFOSYSTCH","EQ","03-May-2000","       7883.30","       7350.00","       7899.00","       6937.30","       7730.00","       7648.90","       7494.26","     513875","          3851112907.90","-","-","-"
"INFOSYSTCH","EQ","04-May-2000","       7648.90","       7690.00","       8230.00","       7550.00","       8161.00","       8179.55","       8038.42","     392461","          3154764731.20","-","-","-"
"INFOSYSTCH","EQ","05-May-2000","       8179.55","       8230.00","       8729.85","       8230.00","       8494.00","       8566.00","       8555.67","     481595","          4120367454.40","-","-","-"
"INFOSYSTCH","EQ","08-May-2000","       8566.00","       8599.00","       8740.00","       7540.00","       7573.00","       7597.80","       8066.43","     756241","          6100164314.30","-","-","-"
"INFOSYSTCH","EQ","09-May-2000","       7597.80","       7501.00","       7945.00","       7000.00","       7926.00","       7876.00","       7612.00","     487739","          3712667950.65","-","-","-"
"INFOSYSTCH","EQ","10-May-2000","       7876.00","       7950.00","       7975.00","       7550.00","       7695.00","       7760.95","       7747.36","     377044","          2921095424.30","-","-","-"
"INFOSYSTCH","EQ","11-May-2000","       7760.95","       7610.00","       7610.00","       6910.25","       7175.00","       7060.95","       7261.86","     496088","          3602521078.70","-","-","-"
"INFOSYSTCH","EQ","12-May-2000","       7060.95","       7150.00","       7300.00","       6752.50","       6868.00","       6860.90","       7002.57","     502746","          3520515615.15","-","-","-"
"INFOSYSTCH","AE","15-May-2000","       7900.00","       6500.00","       7049.00","       6500.00","       7049.00","       7049.00","       6685.52","        206","             1377217.00","-","-","-"
"INFOSYSTCH","EQ","15-May-2000","       6860.90","       6805.00","       7190.00","       6051.10","       6945.00","       6939.30","       6670.17","     675941","          4508644073.30","-","-","-"
"INFOSYSTCH","AE","16-May-2000","       7049.00","       6900.00","       7000.00","       6799.00","       6900.00","       6888.65","       6894.54","        749","             5164014.00","-","-","-"
"INFOSYSTCH","EQ","16-May-2000","       6939.30","       6999.00","       7100.00","       6720.00","       6899.00","       6863.90","       6868.93","     470408","          3231198138.80","-","-","-"
"INFOSYSTCH","AE","17-May-2000","       6888.65","       7240.00","       7400.00","       6315.00","       6950.00","       6903.85","       7190.56","       1125","             8089385.00","-","-","-"
"INFOSYSTCH","EQ","17-May-2000","       6863.90","       7166.60","       7413.05","       6881.00","       6980.00","       6962.85","       7223.02","     389893","          2816204127.20","-","-","-"
"INFOSYSTCH","EQ","18-May-2000","       6962.85","       6950.00","       6995.00","       6752.00","       6947.90","       6897.85","       6870.55","     255152","          1753034104.00","-","-","-"
"INFOSYSTCH","EQ","19-May-2000","       6897.85","       6900.15","       6900.15","       6301.70","       6470.10","       6456.35","       6549.66","     559208","          3662620401.15","-","-","-"
"INFOSYSTCH","AE","22-May-2000","       6903.85","       6100.00","       6150.00","       5710.00","       6000.00","       5872.50","       6011.53","        488","             2933625.00","-","-","-"
"INFOSYSTCH","EQ","22-May-2000","       6456.35","       6258.00","       6258.00","       5831.00","       5900.00","       5939.00","       6047.62","     432449","          2615289269.75","-","-","-"
"INFOSYSTCH","AE","23-May-2000","       5872.50","       5790.00","       6250.00","       5555.00","       6250.00","       6065.80","       5883.48","       2208","            12990731.80","-","-","-"
"INFOSYSTCH","BE","23-May-2000","       6850.00","       5550.00","       6280.00","       5550.00","       6280.00","       6280.00","       5912.50","       1200","             7095000.00","-","-","-"
"INFOSYSTCH","EQ","23-May-2000","       5939.00","       5800.05","       6168.80","       5525.05","       6150.00","       6016.35","       5830.69","     537884","          3136233544.40","-","-","-"
"INFOSYSTCH","AE","24-May-2000","       6065.80","       5900.00","       6134.00","       5750.00","       5999.00","       6023.80","       5881.94","       2015","            11852112.05","-","-","-"
